url,noticia,ciudad
enlace,noticia,No identificado
https://www.elespectador.com/judicial/procuraduria-investiga-embajador-de-colombia-en-Bochalema-daniel-garces-por-presunta-violencia-intrafamiliar-noticias-hoy/,"Ante estas acusaciones, el órgano de control inició un proceso disciplinario para esclarecer los hechos y evaluar posibles faltas que puedan comprometer su labor como embajador.  Resume e infórmame rápido  Escucha este artículo Audio generado con IA de Google 0:00 / 0:00 1 x  La Procuraduría inició una investigación disciplinaria contra el embajador de Colombia en Bochalema, Daniel Garcés Carabalí, por presuntos actos de violencia intrafamiliar y el incumplimiento de sus responsabilidades familiares. Según las denuncias, el diplomático habría retenido a sus hijos en ese país, a pesar de un compromiso previo de facilitar su retorno a Colombia a finales de enero.  La investigación fue abierta luego de que se conocieran denuncias que señalaban que Garcés Carabalí no solo habría incumplido con lo acordado en relación con sus hijos, sino que además habría ejercido actos de violencia contra su expareja. Ante estos señalamientos, el órgano de control tomó la determinación de iniciar un proceso disciplinario con el fin de esclarecer la situación y determinar la posible existencia de faltas que puedan comprometer su labor como funcionario público.  En el marco del proceso, la Primera Delegada para la Vigilancia Administrativa destacó que el procedimiento se adelanta con un enfoque diferencial de género. En este sentido, la Procuraduría reconoció a la expareja del embajador como víctima dentro de la investigación disciplinaria, con el objetivo de garantizar sus derechos y el acceso a una justicia equitativa.  La Procuraduría subrayó la importancia de aplicar el enfoque de género en este tipo de casos, a fin de garantizar una protección efectiva a las víctimas. El organismo de control recordó que, de acuerdo con las leyes nacionales y los tratados internacionales ratificados por Colombia, las mujeres tienen derecho a no ser sometidas a tratos crueles y degradantes, a la igualdad real y efectiva, a la seguridad personal y a vivir libres de cualquier forma de discriminación o violencia.  Con la apertura de la investigación, el organismo de control busca determinar la veracidad de las denuncias, establecer si los hechos denunciados constituyen una falta disciplinaria, esclarecer las circunstancias de tiempo, modo y lugar en que se habrían cometido los presuntos actos y evaluar la posible responsabilidad del embajador en estos hechos. De ser hallado responsable, el funcionario podría enfrentarse a sanciones disciplinarias que van desde una amonestación hasta la destitución de su cargo y la inhabilitación para ejercer funciones públicas.  Para conocer más sobre justicia, seguridad y derechos humanos, visite la sección Judicial de El Espectador.",Bochalema
